Outcome Timeframe,Study results and measurements,Comparator Artesunate + mefloquine,Intervention Dihydroartemisinin + piperaquine,Certainty of the evidence (Quality of evidence)
Prolonged QT interval (adverse event),"Based on data from 1,148 participants in 1 studies. (Randomized controlled)",4 per 1000 Difference:,5 per 1000 1 more per 1000,Low Due to serious risk of bias and serious imprecision 19
Prolonged QT interval (Bazett correction),"Based on data from 1,148 participants in 1 studies. (Randomized controlled)",4 per 1000 Difference:,9 per 1000 5 more per 1000,Low Due to serious risk of bias and serious imprecision 20
Prolonged QT interval (Fridericia correction),"Based on data from 1,148 participants in 1 studies. (Randomized controlled)",5 per 1000 Difference:,4 per 1000 1 fewer per 1000,Low Due to serious risk of bias and serious imprecision 21
Arthralgia,"Based on data from 1,148 participants in 1 studies. (Randomized controlled)",6 per 1000 Difference:,5 per 1000 1 fewer per 1000,Moderate Due to serious risk of bias 22
Myalgia,"Based on data from 1,148 participants in 1 studies. (Randomized controlled)",6 per 1000 Difference:,6 per 1000 0 fewer per 1000,Moderate Due to serious risk of bias 23
Urticaria,Based on data from 719 participants in 2 studies. (Randomized controlled),2 per 1000 Difference:,1 per 1000 1 fewer per 1000,Low Due to serious risk of bias and serious imprecision 24
Pruritus,Based on data from 872 participants in 2 studies. (Randomized controlled),3 per 1000 Difference:,2 per 1000 1 fewer per 1000,Low Due to serious risk of bias and serious imprecision 25
Rash,Based on data from 220 participants in 1 studies. (Randomized controlled),1 per 1000 Difference:,0 per 1000 1 fewer per 1000,Low Due to serious risk of bias and serious imprecision 26
